"","Country","AgtId"
"1","Afghanistan","2232"
"2","Afghanistan","1739"
"3","Afghanistan","1923"
"4","Afghanistan","864"
"5","Afghanistan","848"
"6","Afghanistan","849"
"7","Afghanistan","709"
"8","Afghanistan","708"
"9","Afghanistan","707"
"10","Afghanistan","706"
"11","Afghanistan","847"
"12","Afghanistan","705"
"13","Afghanistan","1069"
"14","Afghanistan","1061"
"15","Afghanistan","1054"
"16","Afghanistan","909"
"17","Afghanistan","908"
"18","Afghanistan","272"
"19","Afghanistan","553"
"20","Afghanistan","409"
"21","Afghanistan","482"
"22","Afghanistan","1070"
"23","Pakistan","1070"
"24","Algeria","1595"
"25","Algeria","1738"
"26","Algeria","1737"
"27","Algeria","1255"
"28","Algeria","1044"
"29","Algeria","484"
"30","Angola","978"
"31","Angola","305"
"32","Angola","299"
"33","Angola","300"
"34","Angola","301"
"35","Angola","1"
"36","Angola","439"
"37","Angola","1318"
"38","Angola","207"
"39","Angola","1316"
"40","Angola","1319"
"41","Angola","1317"
"42","Angola","668"
"43","Burundi","668"
"44","Central African Republic","668"
"45","Democratic Republic of Congo","668"
"46","Kenya","668"
"47","Republic of Congo","668"
"48","Rwanda","668"
"49","Sudan","668"
"50","Tanzania","668"
"51","Uganda","668"
"52","Zambia","668"
"53","African Great Lakes","668"
"54","Angola","349"
"55","Burundi","349"
"56","Central African Republic","349"
"57","Democratic Republic of Congo","349"
"58","Kenya","349"
"59","Republic of Congo","349"
"60","Rwanda","349"
"61","Sudan","349"
"62","Tanzania","349"
"63","Uganda","349"
"64","Zambia","349"
"65","African Great Lakes","349"
"66","Angola","789"
"67","Burundi","789"
"68","Central African Republic","789"
"69","Democratic Republic of Congo","789"
"70","Republic of Congo","789"
"71","Rwanda","789"
"72","South Africa","789"
"73","South Sudan","789"
"74","Tanzania","789"
"75","Uganda","789"
"76","Zambia","789"
"77","African Great Lakes","789"
"78","Angola","1336"
"79","Cabinda ","1336"
"80","Angola","1062"
"81","Central African Republic","1062"
"82","Democratic Republic of Congo","1062"
"83","Kenya","1062"
"84","Republic of Congo","1062"
"85","Rwanda","1062"
"86","Sudan","1062"
"87","Tanzania","1062"
"88","Uganda","1062"
"89","Zambia","1062"
"90","African Great Lakes","1062"
"91","Argentina","423"
"92","United Kingdom","423"
"93","Argentina","431"
"94","United Kingdom","431"
"95","Armenia","1926"
"96","Azerbaijan","1926"
"97","Nagorno-Karabakh","1926"
"98","Armenia","1687"
"99","Azerbaijan","1687"
"100","Nagorno-Karabakh","1687"
"101","Armenia","1686"
"102","Azerbaijan","1686"
"103","Nagorno-Karabakh","1686"
"104","Armenia","1684"
"105","Azerbaijan","1684"
"106","Nagorno-Karabakh","1684"
"107","Armenia","1733"
"108","Azerbaijan","1733"
"109","Nagorno-Karabakh","1733"
"110","Armenia","990"
"111","Azerbaijan","990"
"112","Nagorno-Karabakh","990"
"113","Armenia","310"
"114","Azerbaijan","310"
"115","Nagorno-Karabakh","310"
"116","Armenia","1732"
"117","Azerbaijan","1732"
"118","Nagorno-Karabakh","1732"
"119","Armenia","1731"
"120","Azerbaijan","1731"
"121","Nagorno-Karabakh","1731"
"122","Armenia","1730"
"123","Azerbaijan","1730"
"124","Nagorno-Karabakh","1730"
"125","Armenia","1729"
"126","Azerbaijan","1729"
"127","Nagorno-Karabakh","1729"
"128","Armenia","1728"
"129","Azerbaijan","1728"
"130","Nagorno-Karabakh","1728"
"131","Armenia","1727"
"132","Azerbaijan","1727"
"133","Nagorno-Karabakh","1727"
"134","Armenia","1726"
"135","Azerbaijan","1726"
"136","Nagorno-Karabakh","1726"
"137","Armenia","1725"
"138","Azerbaijan","1725"
"139","Nagorno-Karabakh","1725"
"140","Armenia","1724"
"141","Azerbaijan","1724"
"142","Nagorno-Karabakh","1724"
"143","Armenia","1723"
"144","Azerbaijan","1723"
"145","Nagorno-Karabakh","1723"
"146","Armenia","1722"
"147","Azerbaijan","1722"
"148","Nagorno-Karabakh","1722"
"149","Armenia","1721"
"150","Azerbaijan","1721"
"151","Nagorno-Karabakh","1721"
"152","Armenia","1683"
"153","Azerbaijan","1683"
"154","Nagorno-Karabakh","1683"
"155","Armenia","1925"
"156","Azerbaijan","1925"
"157","Russia","1925"
"158","Nagorno-Karabakh","1925"
"159","Armenia","1685"
"160","Azerbaijan","1685"
"161","Russia","1685"
"162","Nagorno-Karabakh","1685"
"163","Armenia","823"
"164","Azerbaijan","823"
"165","Russia","823"
"166","Nagorno-Karabakh","823"
"167","Armenia","611"
"168","Azerbaijan","611"
"169","Russia","611"
"170","Nagorno-Karabakh","611"
"171","Bahrain","1412"
"172","Bahrain","1415"
"173","Bahrain","1414"
"174","Bahrain","1413"
"175","Bahrain","1437"
"176","Bangladesh","238"
"177","Chittagong Hill Tracts","238"
"178","Bosnia and Herzegovina","384"
"179","Yugoslavia former","384"
"180","Bosnia and Herzegovina","1212"
"181","Yugoslavia former","1212"
"182","Bosnia and Herzegovina","276"
"183","Yugoslavia former","276"
"184","Bosnia and Herzegovina","1210"
"185","Yugoslavia former","1210"
"186","Bosnia and Herzegovina","1209"
"187","Yugoslavia former","1209"
"188","Bosnia and Herzegovina","1207"
"189","Yugoslavia former","1207"
"190","Bosnia and Herzegovina","1903"
"191","Yugoslavia former","1903"
"192","Bosnia and Herzegovina","311"
"193","Yugoslavia former","311"
"194","Bosnia and Herzegovina","1206"
"195","Yugoslavia former","1206"
"196","Bosnia and Herzegovina","1205"
"197","Yugoslavia former","1205"
"198","Bosnia and Herzegovina","1204"
"199","Yugoslavia former","1204"
"200","Bosnia and Herzegovina","1203"
"201","Yugoslavia former","1203"
"202","Bosnia and Herzegovina","1320"
"203","Yugoslavia former","1320"
"204","Bosnia and Herzegovina","1030"
"205","Yugoslavia former","1030"
"206","Bosnia and Herzegovina","389"
"207","Yugoslavia former","389"
"208","Bosnia and Herzegovina","1289"
"209","Yugoslavia former","1289"
"210","Bosnia and Herzegovina","2"
"211","Yugoslavia former","2"
"212","Bosnia and Herzegovina","1201"
"213","Yugoslavia former","1201"
"214","Bosnia and Herzegovina","1645"
"215","Yugoslavia former","1645"
"216","Bosnia and Herzegovina","322"
"217","Yugoslavia former","322"
"218","Bosnia and Herzegovina","78"
"219","Yugoslavia former","78"
"220","Bosnia and Herzegovina","77"
"221","Yugoslavia former","77"
"222","Bosnia and Herzegovina","1644"
"223","Yugoslavia former","1644"
"224","Bosnia and Herzegovina","1214"
"225","Yugoslavia former","1214"
"226","Bosnia and Herzegovina","1643"
"227","Yugoslavia former","1643"
"228","Bosnia and Herzegovina","1642"
