"","Con","Reg","AgtId","Dat","GeWom","GeMe","GeMeNu","GeMeOth","GeLgbti","GeLgbtiPos","GeLgbtiNeg","GeFa","HrGen","EqGen","HrDem","Prot","HrFra","HrCp","HrSec","Genere","DDHH","Gen_DDHH"
"1","Afghanistan","Europe and Eurasia",2232,"2019-07-08",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
"2","Afghanistan","Europe and Eurasia",1739,"2016-09-22",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"3","Afghanistan","Europe and Eurasia",1923,"2014-09-21",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"4","Afghanistan","Europe and Eurasia",864,"2012-07-08",1,1,1,0,0,0,0,0,1,1,2,1,3,0,0,1,1,1
"5","Afghanistan","Europe and Eurasia",848,"2011-12-05",1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,1,1,1
"6","Afghanistan","Europe and Eurasia",849,"2011-11-02",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"7","Afghanistan","Europe and Eurasia",709,"2010-07-22",1,1,1,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1
"8","Afghanistan","Europe and Eurasia",708,"2010-06-06",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
"9","Afghanistan","Europe and Eurasia",707,"2010-01-28",1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
"10","Afghanistan","Europe and Eurasia",706,"2009-03-31",1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"11","Afghanistan","Europe and Eurasia",847,"2009-03-27",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"12","Afghanistan","Europe and Eurasia",705,"2008-06-12",1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,1
"13","Afghanistan","Europe and Eurasia",1069,"2007-07-03",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"14","Afghanistan","Europe and Eurasia",1061,"2006-02-01",1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
"15","Afghanistan","Europe and Eurasia",1054,"2004-04-01",1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
"16","Afghanistan","Europe and Eurasia",909,"2002-12-24",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"17","Afghanistan","Europe and Eurasia",908,"2002-01-22",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"18","Afghanistan","Europe and Eurasia",272,"2001-12-05",1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
"19","Afghanistan","Europe and Eurasia",553,"1999-07-19",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"20","Afghanistan","Europe and Eurasia",409,"1993-03-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Afghanistan","Europe and Eurasia",482,"1992-04-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Afghanistan/Pakistan","Cross-regional",1070,"2007-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Algeria","Middle East and North Africa",1595,"2005-08-14",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
"24","Algeria","Middle East and North Africa",1738,"1999-07-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Algeria","Middle East and North Africa",1737,"1999-07-13",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"26","Algeria","Middle East and North Africa",1255,"1996-09-17",1,0,0,0,0,0,0,0,1,1,3,2,2,1,0,1,1,1
"27","Algeria","Middle East and North Africa",1044,"1995-01-13",1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
"28","Algeria","Middle East and North Africa",484,"1994-01-26",0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,0
"29","Angola","Africa (excl MENA)",978,"2002-04-04",1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1
"30","Angola","Africa (excl MENA)",305,"2002-03-13",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"31","Angola","Africa (excl MENA)",299,"1999-02-18",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32","Angola","Africa (excl MENA)",300,"1999-02-18",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"33","Angola","Africa (excl MENA)",301,"1999-02-18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"34","Angola","Africa (excl MENA)",1,"1998-01-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Angola","Africa (excl MENA)",439,"1994-11-15",0,0,0,0,0,0,0,1,1,3,2,0,1,1,1,1,1,1
"36","Angola","Africa (excl MENA)",1318,"1993-05-31",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"37","Angola","Africa (excl MENA)",207,"1991-05-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Angola","Africa (excl MENA)",1316,"1991-05-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Angola","Africa (excl MENA)",1319,"1991-05-31",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
"40","Angola","Africa (excl MENA)",1317,"1991-05-31",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
"41","Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)","Africa (excl MENA)",668,"2006-12-15",1,0,0,0,0,0,0,0,1,3,1,2,2,1,0,1,1,1
